Time [s],Value,Parity Error,Framing Error
4.270301666666667,0x00,,Error
4.537453708333334,0x55,,
4.538495291666667,0x55,,
4.539536916666667,0x55,,
4.540578541666667,0x55,,
4.541620166666666,0x55,,
11.590985416666667,0x01,,
11.592027000000000,0x00,,
11.593068625000001,0x03,,
11.594110250000000,0x00,,
11.595151875000001,0x00,,
11.596193500000000,0x00,,
11.610047041666666,0x02,,
11.611088666666667,0x00,,
11.612130250000000,0x02,,
11.613171875000001,0x02,,
11.614213500000000,0x02,,
13.536313125000000,0x01,,
13.537354750000000,0x00,,
13.538396375000000,0x02,,
13.539438000000001,0x0B,,
13.540479583333333,0x02,,
14.558662208333333,0x01,,
14.559703833333334,0x00,,
14.560745458333333,0x02,,
14.561787083333334,0x0A,,
14.562828666666666,0x00,,
15.591635791666667,0x0F,,
15.592677416666668,0x00,,
15.593719041666667,0x01,,
15.594760666666666,0xFF,,
15.738078208333333,0x00,,Error
15.756525458333334,0x00,,Error
15.757515666666666,0xFF,,
